basis set	element	element CURIE	element name
2ZaP	1	CHEBI:49637	hydrogen
2ZaP	6	CHEBI:27594	carbon
2ZaP	7	CHEBI:25555	nitrogen
2ZaP	8	CHEBI:25805	oxygen
2ZaP	9	CHEBI:24061	fluorine
2ZaPa-NR	1	CHEBI:49637	hydrogen
2ZaPa-NR	2	CHEBI:30217	helium
2ZaPa-NR	3	CHEBI:30145	lithium
2ZaPa-NR	4	CHEBI:30501	beryllium
2ZaPa-NR	5	CHEBI:27560	boron
2ZaPa-NR	6	CHEBI:27594	carbon
2ZaPa-NR	7	CHEBI:25555	nitrogen
2ZaPa-NR	8	CHEBI:25805	oxygen
2ZaPa-NR	9	CHEBI:24061	fluorine
2ZaPa-NR	10	CHEBI:33310	neon
2ZaPa-NR	11	CHEBI:26708	sodium
2ZaPa-NR	12	CHEBI:25107	magnesium
2ZaPa-NR	13	CHEBI:28984	aluminium
2ZaPa-NR	14	CHEBI:27573	silicon
2ZaPa-NR	15	CHEBI:28659	phosphorus
2ZaPa-NR	16	CHEBI:26833	sulfur
2ZaPa-NR	17	CHEBI:23116	chlorine
2ZaPa-NR	18	CHEBI:49475	argon
2ZaPa-NR	1	CHEBI:49637	hydrogen
2ZaPa-NR	2	CHEBI:30217	helium
2ZaPa-NR	3	CHEBI:30145	lithium
2ZaPa-NR	4	CHEBI:30501	beryllium
2ZaPa-NR	5	CHEBI:27560	boron
2ZaPa-NR	6	CHEBI:27594	carbon
2ZaPa-NR	7	CHEBI:25555	nitrogen
2ZaPa-NR	8	CHEBI:25805	oxygen
2ZaPa-NR	9	CHEBI:24061	fluorine
2ZaPa-NR	10	CHEBI:33310	neon
2ZaPa-NR	11	CHEBI:26708	sodium
2ZaPa-NR	12	CHEBI:25107	magnesium
2ZaPa-NR	13	CHEBI:28984	aluminium
2ZaPa-NR	14	CHEBI:27573	silicon
2ZaPa-NR	15	CHEBI:28659	phosphorus
2ZaPa-NR	16	CHEBI:26833	sulfur
2ZaPa-NR	17	CHEBI:23116	chlorine
2ZaPa-NR	18	CHEBI:49475	argon
2ZaPa-NR-CV	1	CHEBI:49637	hydrogen
2ZaPa-NR-CV	2	CHEBI:30217	helium
2ZaPa-NR-CV	3	CHEBI:30145	lithium
2ZaPa-NR-CV	4	CHEBI:30501	beryllium
2ZaPa-NR-CV	5	CHEBI:27560	boron
2ZaPa-NR-CV	6	CHEBI:27594	carbon
2ZaPa-NR-CV	7	CHEBI:25555	nitrogen
2ZaPa-NR-CV	8	CHEBI:25805	oxygen
2ZaPa-NR-CV	9	CHEBI:24061	fluorine
2ZaPa-NR-CV	10	CHEBI:33310	neon
2ZaPa-NR-CV	11	CHEBI:26708	sodium
2ZaPa-NR-CV	12	CHEBI:25107	magnesium
2ZaPa-NR-CV	13	CHEBI:28984	aluminium
2ZaPa-NR-CV	14	CHEBI:27573	silicon
2ZaPa-NR-CV	15	CHEBI:28659	phosphorus
2ZaPa-NR-CV	16	CHEBI:26833	sulfur
2ZaPa-NR-CV	17	CHEBI:23116	chlorine
2ZaPa-NR-CV	18	CHEBI:49475	argon
2ZaPa-NR-CV	1	CHEBI:49637	hydrogen
2ZaPa-NR-CV	2	CHEBI:30217	helium
2ZaPa-NR-CV	3	CHEBI:30145	lithium
2ZaPa-NR-CV	4	CHEBI:30501	beryllium
2ZaPa-NR-CV	5	CHEBI:27560	boron
