ID	TYPE	basis set	element	element CURIE	element name
ID	TYPE			SC 'BSEO:1000003' some %	
BSEO:0000001	class	2ZaP	1	CHEBI:49637	hydrogen
BSEO:0000001	class	2ZaP	6	CHEBI:27594	carbon
BSEO:0000001	class	2ZaP	7	CHEBI:25555	nitrogen
BSEO:0000001	class	2ZaP	8	CHEBI:25805	oxygen
BSEO:0000001	class	2ZaP	9	CHEBI:24061	fluorine
BSEO:0000002	class	2ZaPa-NR	1	CHEBI:49637	hydrogen
BSEO:0000002	class	2ZaPa-NR	2	CHEBI:30217	helium
BSEO:0000002	class	2ZaPa-NR	3	CHEBI:30145	lithium
BSEO:0000002	class	2ZaPa-NR	4	CHEBI:30501	beryllium
BSEO:0000002	class	2ZaPa-NR	5	CHEBI:27560	boron
BSEO:0000002	class	2ZaPa-NR	6	CHEBI:27594	carbon
BSEO:0000002	class	2ZaPa-NR	7	CHEBI:25555	nitrogen
BSEO:0000002	class	2ZaPa-NR	8	CHEBI:25805	oxygen
BSEO:0000002	class	2ZaPa-NR	9	CHEBI:24061	fluorine
BSEO:0000002	class	2ZaPa-NR	10	CHEBI:33310	neon
BSEO:0000002	class	2ZaPa-NR	11	CHEBI:26708	sodium
BSEO:0000002	class	2ZaPa-NR	12	CHEBI:25107	magnesium
BSEO:0000002	class	2ZaPa-NR	13	CHEBI:28984	aluminium
BSEO:0000002	class	2ZaPa-NR	14	CHEBI:27573	silicon
BSEO:0000002	class	2ZaPa-NR	15	CHEBI:28659	phosphorus
BSEO:0000002	class	2ZaPa-NR	16	CHEBI:26833	sulfur
BSEO:0000002	class	2ZaPa-NR	17	CHEBI:23116	chlorine
BSEO:0000002	class	2ZaPa-NR	18	CHEBI:49475	argon
BSEO:0000003	class	2ZaPa-NR-CV	1	CHEBI:49637	hydrogen
BSEO:0000003	class	2ZaPa-NR-CV	2	CHEBI:30217	helium
BSEO:0000003	class	2ZaPa-NR-CV	3	CHEBI:30145	lithium
BSEO:0000003	class	2ZaPa-NR-CV	4	CHEBI:30501	beryllium
BSEO:0000003	class	2ZaPa-NR-CV	5	CHEBI:27560	boron
BSEO:0000003	class	2ZaPa-NR-CV	6	CHEBI:27594	carbon
BSEO:0000003	class	2ZaPa-NR-CV	7	CHEBI:25555	nitrogen
BSEO:0000003	class	2ZaPa-NR-CV	8	CHEBI:25805	oxygen
BSEO:0000003	class	2ZaPa-NR-CV	9	CHEBI:24061	fluorine
BSEO:0000003	class	2ZaPa-NR-CV	10	CHEBI:33310	neon
BSEO:0000003	class	2ZaPa-NR-CV	11	CHEBI:26708	sodium
BSEO:0000003	class	2ZaPa-NR-CV	12	CHEBI:25107	magnesium
BSEO:0000003	class	2ZaPa-NR-CV	13	CHEBI:28984	aluminium
BSEO:0000003	class	2ZaPa-NR-CV	14	CHEBI:27573	silicon
BSEO:0000003	class	2ZaPa-NR-CV	15	CHEBI:28659	phosphorus
BSEO:0000003	class	2ZaPa-NR-CV	16	CHEBI:26833	sulfur
BSEO:0000003	class	2ZaPa-NR-CV	17	CHEBI:23116	chlorine
BSEO:0000003	class	2ZaPa-NR-CV	18	CHEBI:49475	argon
BSEO:0000004	class	3-21G	1	CHEBI:49637	hydrogen
BSEO:0000004	class	3-21G	2	CHEBI:30217	helium
BSEO:0000004	class	3-21G	3	CHEBI:30145	lithium
BSEO:0000004	class	3-21G	4	CHEBI:30501	beryllium
BSEO:0000004	class	3-21G	5	CHEBI:27560	boron
BSEO:0000004	class	3-21G	6	CHEBI:27594	carbon
BSEO:0000004	class	3-21G	7	CHEBI:25555	nitrogen
BSEO:0000004	class	3-21G	8	CHEBI:25805	oxygen
BSEO:0000004	class	3-21G	9	CHEBI:24061	fluorine
BSEO:0000004	class	3-21G	10	CHEBI:33310	neon
BSEO:0000004	class	3-21G	11	CHEBI:26708	sodium
BSEO:0000004	class	3-21G	12	CHEBI:25107	magnesium
BSEO:0000004	class	3-21G	13	CHEBI:28984	aluminium
BSEO:0000004	class	3-21G	14	CHEBI:27573	silicon
BSEO:0000004	class	3-21G	15	CHEBI:28659	phosphorus
BSEO:0000004	class	3-21G	16	CHEBI:26833	sulfur
BSEO:0000004	class	3-21G	17	CHEBI:23116	chlorine
BSEO:0000004	class	3-21G	18	CHEBI:49475	argon
BSEO:0000004	class	3-21G	19	CHEBI:26216	potassium
BSEO:0000004	class	3-21G	20	CHEBI:22984	calcium
BSEO:0000004	class	3-21G	21	CHEBI:33330	scandium
BSEO:0000004	class	3-21G	22	CHEBI:33341	titanium
BSEO:0000004	class	3-21G	23	CHEBI:27698	vanadium
BSEO:0000004	class	3-21G	24	CHEBI:28073	chromium
BSEO:0000004	class	3-21G	25	CHEBI:18291	manganese
BSEO:0000004	class	3-21G	26	CHEBI:18248	iron
BSEO:0000004	class	3-21G	27	CHEBI:27638	cobalt
BSEO:0000004	class	3-21G	28	CHEBI:28112	nickel
BSEO:0000004	class	3-21G	29	CHEBI:28694	copper
BSEO:0000004	class	3-21G	30	CHEBI:27363	zinc
BSEO:0000004	class	3-21G	31	CHEBI:49631	gallium
BSEO:0000004	class	3-21G	32	CHEBI:30441	germanium
BSEO:0000004	class	3-21G	33	CHEBI:27563	arsenic
BSEO:0000004	class	3-21G	34	CHEBI:27568	selenium
BSEO:0000004	class	3-21G	35	CHEBI:22927	bromine
BSEO:0000004	class	3-21G	36	CHEBI:49696	krypton
BSEO:0000004	class	3-21G	37	CHEBI:33322	rubidium
BSEO:0000004	class	3-21G	38	CHEBI:33324	strontium
BSEO:0000004	class	3-21G	39	CHEBI:33331	yttrium
BSEO:0000004	class	3-21G	40	CHEBI:33342	zirconium
BSEO:0000004	class	3-21G	41	CHEBI:33344	niobium
