curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000001	class	2ZaP	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	2ZaP basis set of Zhong, Barnes, and Petersson	2024-07-15
BSEO:0000002	class	2ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Double Zeta augmented + polarization (nonrelativistic)	2016-07-11
BSEO:0000003	class	2ZaPa-NR-CV	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Double zeta augmented +polarization (nonrelativistic + core-valence)	2017-10-11
BSEO:0000004	class	3-21G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	3-21G Split-valence basis set	2016-08-25
BSEO:0000005	class	3ZaP	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	3ZaP basis set of Zhong, Barnes, and Petersson	2024-07-15
BSEO:0000006	class	3ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Triple Zeta augmented + polarization (nonrelativistic)	2016-07-11
BSEO:0000007	class	3ZaPa-NR-CV	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Triple zeta augmented + polarization (nonrelativistic + core-valence)	2017-10-11
BSEO:0000008	class	4-31G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001	4-31G valence double-zeta basis set	2007-01-15
BSEO:0000009	class	4ZaP	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	4ZaP basis set of Zhong, Barnes, and Petersson	2024-07-15
BSEO:0000010	class	4ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Quadruple Zeta augmented + polarization (nonrelativistic)	2016-07-11
BSEO:0000011	class	4ZaPa-NR-CV	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Quadruple zeta augmented + polarization (nonrelativistic + core-valence)	2017-10-11
BSEO:0000012	class	5-21G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001	5-21G Split-valence basis set	2018-06-19
BSEO:0000013	class	5ZaP	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	5ZaP basis set of Zhong, Barnes, and Petersson	2024-07-15
BSEO:0000014	class	5ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Quintuple Zeta augmented + polarization (nonrelativistic)	2016-08-17
BSEO:0000015	class	5ZaPa-NR-CV	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Quintuple zeta augmented + polarization (nonrelativistic + core-valence)	2017-10-11
BSEO:0000016	class	6-21G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001	6-21G Split-valence basis set	2018-06-19
BSEO:0000017	class	6-31++G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001	6-31G + diffuse on all atoms	2007-01-15
BSEO:0000018	class	6-31++G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	6-31G + diffuse functions on all atoms, polarization on heavy atoms	2015-02-27
BSEO:0000019	class	6-31++G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	6-31G + diffuse and polarization functions on all atoms	2007-01-15
BSEO:0000020	class	6-31++G**-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000021	class	6-31+G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001	6-31G + diffuse on heavy atoms	2015-02-14
BSEO:0000022	class	6-31+G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	6-31G + diffuse and polarization functions on heavy atoms	2015-02-27
BSEO:0000023	class	6-31+G*-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000024	class	6-31+G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	6-31G + diffuse functions on heavy atoms, polarization on all	2015-02-14
BSEO:0000025	class	6-311++G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on all atoms	2015-02-27
BSEO:0000026	class	6-311++G(2d,2p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000027	class	6-311++G(3df,3pd)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000028	class	6-311++G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on all atoms, polarization on heavy atoms	2015-02-27
BSEO:0000029	class	6-311++G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse+polarization on all atoms	2007-01-15
BSEO:0000030	class	6-311++G**-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000031	class	6-311+G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on heavy atoms	2015-02-21
BSEO:0000032	class	6-311+G(2d,p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2015-02-27
BSEO:0000033	class	6-311+G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse+polarization on heavy atoms	2015-02-27
BSEO:0000034	class	6-311+G*-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000035	class	6-311+G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on heavy atoms, polarization on all atoms	2015-02-27
BSEO:0000036	class	6-311G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000037	class	6-311G(2df,2pd)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000038	class	6-311G(d,p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000039	class	6-311G-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001		2016-07-11
BSEO:0000040	class	6-311G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2015-02-19
