element number	symbol	chebi ID
1	H	CHEBI:49637
2	He	CHEBI:30217
3	Li	CHEBI:30145
4	Be	CHEBI:30501
5	B	CHEBI:27560
6	C	CHEBI:27594
7	N	CHEBI:25555
8	O	CHEBI:25805
9	F	CHEBI:24061
10	Ne	CHEBI:33310
11	Na	CHEBI:26708
12	Mg	CHEBI:25107
13	Al	CHEBI:28984
14	Si	CHEBI:27573
15	P	CHEBI:28659
16	S	CHEBI:26833
17	Cl	CHEBI:23116
18	Ar	CHEBI:49475
19	K	CHEBI:26216
20	Ca	CHEBI:22984
21	Sc	CHEBI:33330
22	Ti	CHEBI:33341
23	V	CHEBI:27698
24	Cr	CHEBI:28073
25	Mn	CHEBI:18291
26	Fe	CHEBI:18248
27	Co	CHEBI:27638
28	Ni	CHEBI:28112
29	Cu	CHEBI:28694
30	Zn	CHEBI:27363
31	Ga	CHEBI:49631
32	Ge	CHEBI:30441
33	As	CHEBI:27563
34	Se	CHEBI:27568
35	Br	CHEBI:22927
36	Kr	CHEBI:49696
37	Rb	CHEBI:33322
38	Sr	CHEBI:33324
39	Y	CHEBI:33331
40	Zr	CHEBI:33342
41	Nb	CHEBI:33344
42	Mo	CHEBI:28685
43	Tc	CHEBI:33353
44	Ru	CHEBI:30682
45	Rh	CHEBI:33359
46	Pd	CHEBI:33363
47	Ag	CHEBI:30512
48	Cd	CHEBI:22977
49	In	CHEBI:30430
50	Sn	CHEBI:27007
51	Sb	CHEBI:30513
52	Te	CHEBI:30452
53	I	CHEBI:24859
54	Xe	CHEBI:49957
55	Cs	CHEBI:30514
56	Ba	CHEBI:32594
57	La	CHEBI:33336
58	Ce	CHEBI:33369
59	Pr	CHEBI:49828
60	Nd	CHEBI:33372
61	Pm	CHEBI:33373
62	Sm	CHEBI:33374
63	Eu	CHEBI:32999
64	Gd	CHEBI:33375
65	Tb	CHEBI:33376
66	Dy	CHEBI:33377
67	Ho	CHEBI:49648
68	Er	CHEBI:33379
69	Tm	CHEBI:33380
70	Yb	CHEBI:33381
71	Lu	CHEBI:33382
72	Hf	CHEBI:33343
73	Ta	CHEBI:33348
74	W	CHEBI:27998
75	Re	CHEBI:49882
76	Os	CHEBI:30687
77	Ir	CHEBI:49666
78	Pt	CHEBI:33364
79	Au	CHEBI:29287
80	Hg	CHEBI:25195
81	Tl	CHEBI:30440
82	Pb	CHEBI:25016
83	Bi	CHEBI:33301
84	Po	CHEBI:33313
85	At	CHEBI:30415
86	Rn	CHEBI:33314
87	Fr	CHEBI:33323
88	Ra	CHEBI:33325
89	Ac	CHEBI:33337
90	Th	CHEBI:33385
91	Pa	CHEBI:33386
92	U	CHEBI:27214
93	Np	CHEBI:33387
94	Pu	CHEBI:33388
95	Am	CHEBI:33389
96	Cm	CHEBI:33390
97	Bk	CHEBI:33391
98	Cf	CHEBI:33392
99	Es	CHEBI:33393
100	Fm	CHEBI:33394
101	Md	CHEBI:33395
102	No	CHEBI:33396
103	Lr	CHEBI:33397
104	Rf	CHEBI:33346
105	Db	CHEBI:33349
106	Sg	CHEBI:33351
107	Bh	CHEBI:33355
108	Hs	CHEBI:33357
109	Mt	CHEBI:33361
110	Ds	CHEBI:33367
111	Rg	CHEBI:33368
112	Cn	CHEBI:33517
113	Nh	CHEBI:194533
114	Fl	CHEBI:194531
115	Mc	CHEBI:194535
116	Lv	CHEBI:194537
117	Ts	CHEBI:194539
118	Og	CHEBI:194541
