identifier	type	label	parent	description	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	AT dc:description^^xsd:string
ORBITAL:0000001	owl:Class	orbital
ORBITAL:0000002	owl:Class	orbital by principle quantum number	ORBITAL:0000001
ORBITAL:0000003	owl:Class	1 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 1
ORBITAL:0000004	owl:Class	2 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 2
ORBITAL:0000005	owl:Class	3 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 3
ORBITAL:0000006	owl:Class	4 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 4
ORBITAL:0000007	owl:Class	5 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 5
ORBITAL:0000008	owl:Class	6 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 6
ORBITAL:0000009	owl:Class	7 orbital	ORBITAL:0000002	an orbital whose principal quantum number is 7
ORBITAL:0000010	owl:Class	orbital by azimuthal quantum number	ORBITAL:0000001
ORBITAL:0000011	owl:Class	s orbital	ORBITAL:0000010	an orbital whose angular momentum value is 0
ORBITAL:0000012	owl:Class	p orbital	ORBITAL:0000010	an orbital whose angular momentum value is 1
ORBITAL:0000013	owl:Class	d orbital	ORBITAL:0000010	an orbital whose angular momentum value is 2
ORBITAL:0000014	owl:Class	f orbital	ORBITAL:0000010	an orbital whose angular momentum value is 3
ORBITAL:0000015	owl:Class	g orbital	ORBITAL:0000010	an orbital whose angular momentum value is 4
ORBITAL:0000016	owl:Class	h orbital	ORBITAL:0000010	an orbital whose angular momentum value is 5
ORBITAL:0000017	owl:Class	i orbital	ORBITAL:0000010	an orbital whose angular momentum value is 6
ORBITAL:0000018	owl:Class	orbital by principle and azimuthal quantum number
ORBITAL:0000019	owl:Class	1s orbital	ORBITAL:0000018	an orbital whose principal quantum number is 1 and azimuthal quantum number is 0		https://www.physics-in-a-nutshell.com/img/content/solid-state-physics/1s-orbital.svg
ORBITAL:0000020	owl:Class	2s orbital	ORBITAL:0000018	an orbital whose principal quantum number is 2 and azimuthal quantum number is 0
ORBITAL:0000021	owl:Class	2p orbital	ORBITAL:0000018	an orbital whose principal quantum number is 2 and azimuthal quantum number is 1		https://www.physics-in-a-nutshell.com/img/content/solid-state-physics/2p-orbitals.svg
ORBITAL:0000022	owl:Class	3s orbital	ORBITAL:0000018	an orbital whose principal quantum number is 3 and azimuthal quantum number is 0
