basis set ID	basis set name	atomic number	atom reference	atom name	electron shell position	electron shell region	angular momentum	function type
BSEO:0000126	6-31G	1	CHEBI:49637	hydrogen	0	valence	0	gto
BSEO:0000126	6-31G	1	CHEBI:49637	hydrogen	1	valence	0	gto
BSEO:0000126	6-31G	2	CHEBI:30217	helium	0	valence	0	gto
BSEO:0000126	6-31G	2	CHEBI:30217	helium	1	valence	0	gto
BSEO:0000126	6-31G	3	CHEBI:30145	lithium	0	valence	0	gto
BSEO:0000126	6-31G	3	CHEBI:30145	lithium	1	valence	0,1	gto
BSEO:0000126	6-31G	3	CHEBI:30145	lithium	2	valence	0,1	gto
BSEO:0000126	6-31G	4	CHEBI:30501	beryllium	0	valence	0	gto
BSEO:0000126	6-31G	4	CHEBI:30501	beryllium	1	valence	0,1	gto
BSEO:0000126	6-31G	4	CHEBI:30501	beryllium	2	valence	0,1	gto
BSEO:0000126	6-31G	5	CHEBI:27560	boron	0	valence	0	gto
BSEO:0000126	6-31G	5	CHEBI:27560	boron	1	valence	0,1	gto
BSEO:0000126	6-31G	5	CHEBI:27560	boron	2	valence	0,1	gto
BSEO:0000126	6-31G	6	CHEBI:27594	carbon	0	valence	0	gto
BSEO:0000126	6-31G	6	CHEBI:27594	carbon	1	valence	0,1	gto
BSEO:0000126	6-31G	6	CHEBI:27594	carbon	2	valence	0,1	gto
BSEO:0000126	6-31G	7	CHEBI:25555	nitrogen	0	valence	0	gto
BSEO:0000126	6-31G	7	CHEBI:25555	nitrogen	1	valence	0,1	gto
BSEO:0000126	6-31G	7	CHEBI:25555	nitrogen	2	valence	0,1	gto
BSEO:0000126	6-31G	8	CHEBI:25805	oxygen	0	valence	0	gto
BSEO:0000126	6-31G	8	CHEBI:25805	oxygen	1	valence	0,1	gto
BSEO:0000126	6-31G	8	CHEBI:25805	oxygen	2	valence	0,1	gto
BSEO:0000126	6-31G	9	CHEBI:24061	fluorine	0	valence	0	gto
BSEO:0000126	6-31G	9	CHEBI:24061	fluorine	1	valence	0,1	gto
BSEO:0000126	6-31G	9	CHEBI:24061	fluorine	2	valence	0,1	gto
BSEO:0000126	6-31G	10	CHEBI:33310	neon	0	valence	0	gto
BSEO:0000126	6-31G	10	CHEBI:33310	neon	1	valence	0,1	gto
BSEO:0000126	6-31G	10	CHEBI:33310	neon	2	valence	0,1	gto
BSEO:0000126	6-31G	11	CHEBI:26708	sodium	0	valence	0	gto
BSEO:0000126	6-31G	11	CHEBI:26708	sodium	1	valence	0,1	gto
BSEO:0000126	6-31G	11	CHEBI:26708	sodium	2	valence	0,1	gto
BSEO:0000126	6-31G	11	CHEBI:26708	sodium	3	valence	0,1	gto
BSEO:0000126	6-31G	12	CHEBI:25107	magnesium	0	valence	0	gto
BSEO:0000126	6-31G	12	CHEBI:25107	magnesium	1	valence	0,1	gto
BSEO:0000126	6-31G	12	CHEBI:25107	magnesium	2	valence	0,1	gto
BSEO:0000126	6-31G	12	CHEBI:25107	magnesium	3	valence	0,1	gto
BSEO:0000126	6-31G	13	CHEBI:28984	aluminium	0	valence	0	gto
BSEO:0000126	6-31G	13	CHEBI:28984	aluminium	1	valence	0,1	gto
BSEO:0000126	6-31G	13	CHEBI:28984	aluminium	2	valence	0,1	gto
BSEO:0000126	6-31G	13	CHEBI:28984	aluminium	3	valence	0,1	gto
BSEO:0000126	6-31G	14	CHEBI:27573	silicon	0	valence	0	gto
BSEO:0000126	6-31G	14	CHEBI:27573	silicon	1	valence	0,1	gto
BSEO:0000126	6-31G	14	CHEBI:27573	silicon	2	valence	0,1	gto
BSEO:0000126	6-31G	14	CHEBI:27573	silicon	3	valence	0,1	gto
BSEO:0000126	6-31G	15	CHEBI:28659	phosphorus	0	valence	0	gto
BSEO:0000126	6-31G	15	CHEBI:28659	phosphorus	1	valence	0,1	gto
BSEO:0000126	6-31G	15	CHEBI:28659	phosphorus	2	valence	0,1	gto
BSEO:0000126	6-31G	15	CHEBI:28659	phosphorus	3	valence	0,1	gto
BSEO:0000126	6-31G	16	CHEBI:26833	sulfur	0	valence	0	gto
BSEO:0000126	6-31G	16	CHEBI:26833	sulfur	1	valence	0,1	gto
BSEO:0000126	6-31G	16	CHEBI:26833	sulfur	2	valence	0,1	gto
BSEO:0000126	6-31G	16	CHEBI:26833	sulfur	3	valence	0,1	gto
BSEO:0000126	6-31G	17	CHEBI:23116	chlorine	0	valence	0	gto
BSEO:0000126	6-31G	17	CHEBI:23116	chlorine	1	valence	0,1	gto
BSEO:0000126	6-31G	17	CHEBI:23116	chlorine	2	valence	0,1	gto
BSEO:0000126	6-31G	17	CHEBI:23116	chlorine	3	valence	0,1	gto
BSEO:0000126	6-31G	18	CHEBI:49475	argon	0	valence	0	gto
BSEO:0000126	6-31G	18	CHEBI:49475	argon	1	valence	0,1	gto
