basis set identifier 	basis set name 	polarization function	diffusion function	polarization function for all atoms	diffusion function for all atoms	zeta level for valence
BSEO_0000086	3-21G            	false	false	false	false	double
BSEO_0000090	4-31G           	false	false	false	false	double
BSEO_0000094	5-21G            	false	false	false	false	double
BSEO_0000098	6-21G            	false	false	false	false	double
BSEO_0000099	6-31++G          	false	true	false	true	double
BSEO_0000100	6-31++G*     	true	true	false	true	double
BSEO_0000101	6-31++G**       	true	true	true	true	double
BSEO_0000103	6-31+G          	false	true	false	false	double
BSEO_0000104	6-31+G*       	true	true	false	false	double
BSEO_0000106	6-31+G**      	true	true	true	false	double
BSEO_0000107	6-311++G    	false	true	false	true	triple
BSEO_0000108	6-311++G(2d,2p)               	true	true	true	true	triple
BSEO_0000109	6-311++G(3df,3pd)               	true	true	true	true	triple
BSEO_0000110	6-311++G*	true	true	false	true	triple
BSEO_0000111	6-311++G**    	true	true	true	true	triple
BSEO_0000113	6-311+G    	false	true	false	false	triple
BSEO_0000114	6-311+G(2d,p)               	true	true	true	false	triple
BSEO_0000115	6-311+G*    	true	true	false	false	triple
BSEO_0000117	6-311+G**	true	true	true	false	triple
BSEO_0000118	6-311G         	false	false	false	false	triple
BSEO_0000119	6-311G(2df,2pd)               	true	false	true	false	triple
BSEO_0000120	6-311G(d,p)         	true	false	true	false	triple
BSEO_0000122	6-311G*         	true	false	false	false	triple
BSEO_0000123	6-311G**         	true	false	true	false	triple
BSEO_0000126	6-31G             	false	false	false	false	double
BSEO_0000127	6-31G(2df,p)               	true	false	true	false	double
BSEO_0000128	6-31G(3df,3pd)               	true	false	true	false	double
BSEO_0000129	6-31G(d,p)          	true	false	true	false	double
BSEO_0000132	6-31G*          	true	false	false	false	double
BSEO_0000134	6-31G**          	true	false	true	false	double
