curie	type	label
ID	TYPE
BSEO:0000001	class	2ZaP
BSEO:0000002	class	2ZaPa-NR
BSEO:0000003	class	2ZaPa-NR-CV
BSEO:0000004	class	3-21G
BSEO:0000005	class	3ZaP
BSEO:0000006	class	3ZaPa-NR
BSEO:0000007	class	3ZaPa-NR-CV
BSEO:0000008	class	4-31G
BSEO:0000009	class	4ZaP
BSEO:0000010	class	4ZaPa-NR
BSEO:0000011	class	4ZaPa-NR-CV
BSEO:0000012	class	5-21G
BSEO:0000013	class	5ZaP
BSEO:0000014	class	5ZaPa-NR
BSEO:0000015	class	5ZaPa-NR-CV
BSEO:0000016	class	6-21G
BSEO:0000017	class	6-31++G
BSEO:0000018	class	6-31++G*
BSEO:0000019	class	6-31++G**
BSEO:0000020	class	6-31++G**-J
BSEO:0000021	class	6-31+G
BSEO:0000022	class	6-31+G*
BSEO:0000023	class	6-31+G*-J
BSEO:0000024	class	6-31+G**
BSEO:0000025	class	6-311++G
BSEO:0000026	class	6-311++G(2d,2p)
BSEO:0000027	class	6-311++G(3df,3pd)
BSEO:0000028	class	6-311++G*
BSEO:0000029	class	6-311++G**
BSEO:0000030	class	6-311++G**-J
BSEO:0000031	class	6-311+G
BSEO:0000032	class	6-311+G(2d,p)
BSEO:0000033	class	6-311+G*
BSEO:0000034	class	6-311+G*-J
BSEO:0000035	class	6-311+G**
BSEO:0000036	class	6-311G
BSEO:0000037	class	6-311G(2df,2pd)
BSEO:0000038	class	6-311G(d,p)
BSEO:0000039	class	6-311G-J
BSEO:0000040	class	6-311G*
BSEO:0000041	class	6-311G**
BSEO:0000042	class	6-311G**-RIFIT
BSEO:0000043	class	6-311xxG(d,p)
BSEO:0000044	class	6-31G
BSEO:0000045	class	6-31G(2df,p)
BSEO:0000046	class	6-31G(3df,3pd)
BSEO:0000047	class	6-31G(d,p)
BSEO:0000048	class	6-31G-Blaudeau
BSEO:0000049	class	6-31G-J
BSEO:0000050	class	6-31G*
BSEO:0000051	class	6-31G*-Blaudeau
BSEO:0000052	class	6-31G**
BSEO:0000053	class	6-31G**-RIFIT
BSEO:0000054	class	6ZaP
BSEO:0000055	class	6ZaPa-NR
BSEO:0000056	class	7ZaPa-NR
BSEO:0000057	class	acv2z-J
BSEO:0000058	class	acv3z-J
BSEO:0000059	class	acv4z-J
BSEO:0000060	class	admm-1
BSEO:0000061	class	admm-2
BSEO:0000062	class	admm-3
BSEO:0000063	class	AHGBS-5
BSEO:0000064	class	AHGBS-7
BSEO:0000065	class	AHGBS-9
BSEO:0000066	class	AHGBSP1-5
BSEO:0000067	class	AHGBSP1-7
BSEO:0000068	class	AHGBSP1-9
BSEO:0000069	class	AHGBSP2-5
BSEO:0000070	class	AHGBSP2-7
BSEO:0000071	class	AHGBSP2-9
BSEO:0000072	class	AHGBSP3-5
BSEO:0000073	class	AHGBSP3-7
BSEO:0000074	class	AHGBSP3-9
BSEO:0000075	class	Ahlrichs pVDZ
BSEO:0000076	class	Ahlrichs TZV
BSEO:0000077	class	Ahlrichs VDZ
BSEO:0000078	class	Ahlrichs VTZ
BSEO:0000079	class	ANO-DK3
BSEO:0000080	class	ano-pV5Z
BSEO:0000081	class	ano-pVDZ
BSEO:0000082	class	ano-pVQZ
BSEO:0000083	class	ano-pVTZ
BSEO:0000084	class	ANO-R
BSEO:0000085	class	ANO-R0
BSEO:0000086	class	ANO-R1
BSEO:0000087	class	ANO-R2
BSEO:0000088	class	ANO-R3
BSEO:0000089	class	ANO-RCC
BSEO:0000090	class	ANO-RCC-MB
BSEO:0000091	class	ANO-RCC-VDZ
BSEO:0000092	class	ANO-RCC-VDZP
BSEO:0000093	class	ANO-RCC-VQZP
BSEO:0000094	class	ANO-RCC-VTZ
BSEO:0000095	class	ANO-RCC-VTZP
BSEO:0000096	class	ANO-VT-DZ
BSEO:0000097	class	ANO-VT-QZ
BSEO:0000098	class	ANO-VT-TZ
BSEO:0000099	class	apr-cc-pV(Q+d)Z
BSEO:0000100	class	asigmaDZ
BSEO:0000101	class	asigmaQZ
BSEO:0000102	class	asigmaTZ
BSEO:0000103	class	ATZP-ZORA
BSEO:0000104	class	aug-admm-1
BSEO:0000105	class	aug-admm-2
BSEO:0000106	class	aug-admm-3
BSEO:0000107	class	aug-ano-pV5Z
BSEO:0000108	class	aug-ano-pVDZ
BSEO:0000109	class	aug-ano-pVQZ
BSEO:0000110	class	aug-ano-pVTZ
BSEO:0000111	class	aug-cc-pCV5Z
BSEO:0000112	class	aug-cc-pCVDZ
BSEO:0000113	class	aug-cc-pCVDZ-DK
BSEO:0000114	class	aug-cc-pCVQZ
BSEO:0000115	class	aug-cc-pCVQZ-DK
BSEO:0000116	class	aug-cc-pCVTZ
BSEO:0000117	class	aug-cc-pCVTZ-DK
BSEO:0000118	class	aug-cc-pV(5+d)Z
BSEO:0000119	class	aug-cc-pV(D+d)Z
BSEO:0000120	class	aug-cc-pV(Q+d)Z
BSEO:0000121	class	aug-cc-pV(T+d)Z
BSEO:0000122	class	aug-cc-pV5Z
BSEO:0000123	class	aug-cc-pV5Z-DK
BSEO:0000124	class	aug-cc-pV5Z-OPTRI
BSEO:0000125	class	aug-cc-pV5Z-PP
BSEO:0000126	class	aug-cc-pV5Z-PP-OPTRI
BSEO:0000127	class	aug-cc-pV5Z-PP-RIFIT
BSEO:0000128	class	aug-cc-pV5Z-RIFIT
BSEO:0000129	class	aug-cc-pV6Z
BSEO:0000130	class	aug-cc-pV6Z-RIFIT
BSEO:0000131	class	aug-cc-pV7Z
BSEO:0000132	class	aug-cc-pVDZ
BSEO:0000133	class	aug-cc-pVDZ-DK
BSEO:0000134	class	aug-cc-pVDZ-DK3
BSEO:0000135	class	aug-cc-pVDZ-OPTRI
BSEO:0000136	class	aug-cc-pVDZ-PP
BSEO:0000137	class	aug-cc-pVDZ-PP-OPTRI
BSEO:0000138	class	aug-cc-pVDZ-PP-RIFIT
BSEO:0000139	class	aug-cc-pVDZ-RIFIT
BSEO:0000140	class	aug-cc-pVDZ-X2C
BSEO:0000141	class	aug-cc-pVQZ
BSEO:0000142	class	aug-cc-pVQZ-DK
BSEO:0000143	class	aug-cc-pVQZ-DK3
BSEO:0000144	class	aug-cc-pVQZ-OPTRI
BSEO:0000145	class	aug-cc-pVQZ-PP
BSEO:0000146	class	aug-cc-pVQZ-PP-OPTRI
BSEO:0000147	class	aug-cc-pVQZ-PP-RIFIT
BSEO:0000148	class	aug-cc-pVQZ-RIFIT
BSEO:0000149	class	aug-cc-pVQZ-X2C
BSEO:0000150	class	aug-cc-pVTZ
BSEO:0000151	class	aug-cc-pVTZ-DK
BSEO:0000152	class	aug-cc-pVTZ-DK3
BSEO:0000153	class	aug-cc-pVTZ-J
BSEO:0000154	class	aug-cc-pVTZ-OPTRI
BSEO:0000155	class	aug-cc-pVTZ-PP
BSEO:0000156	class	aug-cc-pVTZ-PP-OPTRI
BSEO:0000157	class	aug-cc-pVTZ-PP-RIFIT
BSEO:0000158	class	aug-cc-pVTZ-RIFIT
BSEO:0000159	class	aug-cc-pVTZ-X2C
BSEO:0000160	class	aug-cc-pwCV5Z
BSEO:0000161	class	aug-cc-pwCV5Z-DK
BSEO:0000162	class	aug-cc-pwCV5Z-PP
BSEO:0000163	class	aug-cc-pwCV5Z-PP-OPTRI
BSEO:0000164	class	aug-cc-pwCV5Z-PP-RIFIT
BSEO:0000165	class	aug-cc-pwCV5Z-RIFIT
BSEO:0000166	class	aug-cc-pwCVDZ
BSEO:0000167	class	aug-cc-pwCVDZ-DK3
BSEO:0000168	class	aug-cc-pwCVDZ-PP
BSEO:0000169	class	aug-cc-pwCVDZ-PP-OPTRI
BSEO:0000170	class	aug-cc-pwCVDZ-PP-RIFIT
BSEO:0000171	class	aug-cc-pwCVDZ-RIFIT
BSEO:0000172	class	aug-cc-pwCVDZ-X2C
