#curie_map:
#  BSEO: http://purl.obolibrary.org/obo/BSEO_
#  gainesville.core: http://purl.org/gc/
#  orcid: https://orcid.org/
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  sssom: https://w3id.org/sssom/
#  wikidata: http://www.wikidata.org/entity/
#mapping_set_id: https://example.org/test.tsv
#license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
BSEO:0000000	basis set	skos:exactMatch	gainesville.core:BasisSet	Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	
BSEO:0000000	basis set	skos:exactMatch	wikidata:Q2664086	basis set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-11	
BSEO:0000004	3-21G	skos:exactMatch	gainesville.core:3-21G	3-21G Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the Pople split valence 3-21G basis set.
BSEO:0000008	4-31G	skos:exactMatch	gainesville.core:4-31G	4-31G Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the Pople split valence 4-31G basis set.
BSEO:0000033	6-311+G*	skos:exactMatch	gainesville.core:6-311pGS	6-311+G* Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	
BSEO:0000036	6-311G	skos:exactMatch	gainesville.core:6-311G	6-311G Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the Pople split valence 6-311G basis set.
BSEO:0000044	6-31G	skos:exactMatch	gainesville.core:6-31G	6-31G Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the Pople split valence 6-31G basis set.
BSEO:0000050	6-31G*	skos:exactMatch	gainesville.core:6-31GS	6-31G* Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the Pople polarization split valence 6-31G* basis set.
BSEO:0000122	aug-cc-pV5Z	skos:exactMatch	gainesville.core:aug-cc-pV5Z	aug-cc-pV5Z Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the aug-cc-pV5Z Correlation Consistent Quintuple Zeta basis set.
BSEO:0000132	aug-cc-pVDZ	skos:exactMatch	gainesville.core:aug-cc-pVDZ	aug-cc-pVDZ Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the aug-cc-pVDZ Correlation Consistent Double Zeta basis set.
BSEO:0000141	aug-cc-pVQZ	skos:exactMatch	gainesville.core:aug-cc-pVQZ	aug-cc-pVQZ Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the aug-cc-pVQZ Correlation Consistent Quadruple Zeta basis set.
BSEO:0000150	aug-cc-pVTZ	skos:exactMatch	gainesville.core:aug-cc-pVTZ	aug-cc-pVTZ Basis Set	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-09-10	A class for the aug-cc-pVTZ Correlation Consistent Triple Zeta basis set.
